job_title,company_name,job_location,salary_range,job_posted,description,Ratings
Technical Product Management Director- REMOTE,Citi,"Remote in New York, NY","$159,900 - $287,800 ","
 30+ days ago","5+ years in a leading portfolio or product management role.
Directs managers who are responsible for managing the definition and direction of a product or…",3.9
Product Management Lead,S&P Global,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
"Director, Product Management, Private Markets - Strategic Initiatives",Federal Reserve Bank of New York,"New York, NY 10004 
(Financial District area)","$180,000 - $200,000 ","
 13 days ago",8-12 years of total experience; at least 4 years of experience specifically in product ownership or technical product management roles working alongside…,4.1
Product Owner - Middle and Back Office,LSEG (London Stock Exchange Group),"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",3.7
"Senior Product Manager, FXall Product Management","JPMorgan Chase Bank, N.A.","New York, NY","$150,000 - $278,600 ","
 30+ days ago",Offers advice on how to deliver product solutions against the needs of the proposition and work with the customers to validate detailed product requirements.,3.8
Core Engineering Product Manager,ACLU,"New York, NY","$142,500 - $200,000 ","
 8 days ago","Experience of going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch…",4.3
Senior Product Manager,Santander US,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.9
"Team Leader, Cash Management, Product Management",Mastercard,"New York, NY","$157,500 - $205,000 ","
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",4.0
Manager - Network Strategy and Product,"JPMorgan Chase Bank, N.A.","New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",3.8
"J.P. Morgan Wealth Management - Executive Director, Self Directed Investing Product Owner",BNY Mellon,"New York, NY","$171,000 - $270,000 ","
 5 days ago",5-10 years of investments related product management experience with proven track record of delivery of new products and features.,3.5
"Senior Principal, Product Management",0,"Hybrid remote in New York, NY","$119,000 - $260,000 ","
 30+ days ago","Demonstrates in-depth and comprehensive knowledge of teams capabilities and an understanding of all products, the marketplace and client needs to drive product…",0
Product Management Director,Meta,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.1
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
"VP, Product Management",Federal Reserve Bank of New York,"Remote in New York, NY","$190,000 - $225,000 ","
 26 days ago","10+ years of experience in product management, with a proven record of accomplishment in delivering successful products.
HIPAA, Meaningful Use, HITECH, etc.",4.1
Product Owner - Middle and Back Office,Mastercard,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.0
Manager - Network Strategy and Product,Siemens,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Technical Product Management Director- REMOTE,"JPMorgan Chase Bank, N.A.","Remote in New York, NY","$159,900 - $287,800 ","
 30+ days ago","5+ years in a leading portfolio or product management role.
Directs managers who are responsible for managing the definition and direction of a product or…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
Core Engineering Product Manager,BNY Mellon,"New York, NY","$142,500 - $200,000 ","
 8 days ago","Experience of going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch…",3.5
"Senior Principal, Product Management",LSEG (London Stock Exchange Group),"Hybrid remote in New York, NY","$119,000 - $260,000 ","
 30+ days ago","Demonstrates in-depth and comprehensive knowledge of teams capabilities and an understanding of all products, the marketplace and client needs to drive product…",3.7
"Senior Product Manager, FXall Product Management",Santander US,"New York, NY","$150,000 - $278,600 ","
 30+ days ago",Offers advice on how to deliver product solutions against the needs of the proposition and work with the customers to validate detailed product requirements.,3.9
"Team Leader, Cash Management, Product Management",Meta,"New York, NY","$157,500 - $205,000 ","
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",4.1
"Group Manager, Product Technical Program Management",Ro,"New York, NY","$193,000 - $259,000 ","
 30+ days ago","Experience establishing and leading teams through multi-disciplinary relationships, including product management and engineering to drive product impact.",3.6
"Group Product Manager, Patient Experience",S&P Global,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",3.9
"Director, Product Management, Private Markets - Strategic Initiatives",0,"New York, NY 10004 
(Financial District area)","$180,000 - $200,000 ","
 13 days ago",8-12 years of total experience; at least 4 years of experience specifically in product ownership or technical product management roles working alongside…,0
Product Manager,0,"Hybrid remote in New York, NY 10013","$150,000 - $180,000 ","
 12 days ago","Experience: 2+ years of product management experience or equivalent track record of shipping great products.
Familiarity with platform or tooling products.",0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Product Management Associate,ACLU,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.3
Product Manager,Meta,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management",Northwell Health,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.9
Associate Product Services & Management Analyst,"JPMorgan Chase Bank, N.A.","Lake Success, NY 11020","$58,500 - $79,300 ","
 30+ days ago","Assists in the analysis, verification, tracking and development of implementation plans for system development and implementation of project access.",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",ACLU,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",4.3
Senior Product Manager,Visa,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.9
"Director, Product Management",Telstra,"Hybrid remote in New York, NY","$120,000 - $145,600 ","
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",3.9
Financial Management Product Owner,Citi,"New York, NY","$170,880 - $256,320 ","
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.9
Product Management Lead,Ro,"Jersey City, NJ 07310 
(The Waterfront area)","$186,600 - $222,500 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.6
"Group Product Manager, Patient Experience",Siemens,"Remote in New York, NY","$159,900 - $287,800 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",4.0
Technical Product Management Director- REMOTE,0,"Remote in New York, NY",0,"
 30+ days ago","5+ years in a leading portfolio or product management role.
Directs managers who are responsible for managing the definition and direction of a product or…",0
Senior Product Owner,Capgemini,"Remote in Manhattan, NY",$70 - $90 an hour,"
 4 days ago","5+ years of experience in product management or product ownership, with a track record of successfully launching and scaling digital products.",3.7
Product Owner/Scrum,ASK Consulting,"New York, NY 10003 
(Flatiron area)",$65 - $70 an hour,"
 30+ days ago","Experience in project management tools, preferred JIRA and enterprise-level PMO practices.
Multiple years of Product Management experience for custom software…",4.6
Product Manager,UNIVERSAL Technologies,"Ridgefield Park, NJ",$35 - $45 an hour,"
 3 days ago","Adobe suite of products experience preferred.
Experience with project management and process improvement - Lean Process preferred.",3.5
Product Owner,SRP,"New York, NY 10001 
(Chelsea area)","$8,000 - $12,000 a month","Employer
Active 3 days ago","Creates and prioritizes stories in the product backlog.
Responsible for maximizing the value for a product.
Knowledge and experience in document management and…",3.4
Product Owner/Business Analyst,Digital Turbine,"Long Island City, NY 11101",$45 - $60 an hour,"Employer
Active 12 days ago","Translate product roadmap features into well-defined product requirements including features, user stories, and acceptance test criteria.",3.3
Product Manager,Rangam Consultants Inc.,"New York, NY 10001 
(Chelsea area)","$132,000 - $150,000 ","Employer
Active 2 days ago","Release management and communication.
Monitoring and reporting of platform uptime and.
Roadmapping, prioritization, and timeline.",3.8
Product Manager - Digital Ad,0,"Hybrid remote in New York, NY 10036",$35 - $60 an hour,"Employer
Active 3 days ago","Lead and deliver on product strategy - helping to align the common product vision across a diverse set of technologies.
Proficient with Word, Excel, PowerPoint.",0
Product Marketing Manager,0,"Hybrid remote in New York, NY","$70,686 - $162,284 ","
 30+ days ago","Own release management, including writing and distributing product briefs for sales, account management, and revenue teams.",0
New Product Development Manager,0,"Hybrid remote in Woodbridge, NJ 07095",$50.12 - $60.00 an hour,"Employer
Active 2 days ago","They will be responsible for the product innovation pipeline, from product conception and formula to timeline management.
Skincare product development a plus.",0
User Experience Designer / Product Owner/Manager (W2),0,"New York, NY 10004 
(Financial District area)",$60 - $74 an hour,"
 2 days ago","Creates and prioritizes epics/stories in the product backlog.
Communicates the product vision and roadmap to C-Suite stakeholders and business teams, and drives…",0
Product Manager (9+ Years),0,"Hybrid remote in New York, NY 10001","$90,727 - $130,643 ","Employer
Active 3 days ago","Product management experience to lead consultative engagements with customers on the technical and business challenges.
Total Work: 8 years (Preferred).",0
Product Manager-Growth (Contract to Hire),0,"New York, NY",$70 - $75 an hour,"
 30+ days ago","3+ years of consumer growth product management experience.
Use quantitative data to measure success, iterate & evolve our growth product strategy.",0
Agile Product Owner (W2),0,"Bloomfield, NJ 07003","$120,000 - $200,000 ","
 2 days ago","Lead in facilitating using effective product discovery techniques.
Strategic oversight and ownership of the product vision and road-map.",0
Product Marketing Manager (Respiratory/Eyecare) (Pharma/Healthcare),0,"Hybrid remote in East Hanover, NJ 07936",0,"
 11 days ago","The Manager, Integrated Marketing will be responsible for supporting the Patient and HCP marketing strategy for growth brands and/or supporting Marketing…",0
"Product Manager, Immuno-oncology",0,"New York, NY",0,"Employer
Active 2 days ago","L Support product development teams and projects.
L Sales of immuno-oncology projects and related products.
L Relationship and trust building with new customers…",0
"Asset & Wealth Management, Vice President – Product Management, Operations",Goldman Sachs,"New York, NY 10282 
(Battery Park area)","$144,000 - $216,000 ","
 5 days ago",Roadmap our products and priorities the simultaneous develop of strategic initiatives alongside tactical projects and product enhancements.,3.9
"Senior Manager I, Product Management (Tech) - Walmart Fulfillment Services, Seller Support Experience (Remote)",Walmart,"Remote in Brooklyn, NY 11222","$192,000 - $288,000 ","
 18 days ago","Option 2: 9 years' experience in product management or related area.
Work with cross-functional teams to translate the product strategy into a product roadmap…",3.4
"Senior Associate, Product Manager -- Data Management Services",Capital One,"New York, NY 10011 
(Flatiron area)",$35 - $60 an hour,"
 11 days ago","At least 1 year of product management experience or at least 1 year of experience in product design, agile delivery, business analysis, data science, or…",3.9
"Platform Solutions - Enterprise Partnerships - Associate, Credit Card Product Management - NYC",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 5 days ago","Experience owning a product roadmap.
3+ years of experience building digital products in a fast-paced, agile product development environment (consumer banking…",3.9
"Manager, Digital Product",YourTango,"New York, NY",0,"
 30+ days ago","Management of our Social Media profiles and programs.
YourTango is looking for an ambitious and creative intern for a Social Media internship.",3.8
"Sr Associate - Product Management, Data Sourcing & Transformation",Capital One,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago","At least 1 year of product management experience or at least 1 year of experience in product design, agile delivery, business analysis, data science, or…",3.9
"Asset & Wealth Management, Client Solutions Group, Private Equity Product Specialist, Growth Equity, Vice President",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 26 days ago","Minimum of 7-10 years of experience in the asset management industry.
This team works closely with the growth equity investing team around the world,…",3.9
"Manager, Product Manager - Enterprise Platforms",Capital One,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago","2+ years of experience in Agile product management.
At least 3 year of product management experience or at least 3 year of experience in product design, agile…",3.9
"Director, Product Management (US) - Incubation Venture Design Lead (Store No.8)",Walmart,"New York, NY 10013 
(SoHo area)",0,"
 30+ days ago","Option 2: 13 years' experience in product management or related area.
Option 1: Bachelor's degree in computer science, engineering, or related area and 11 years…",3.4
"Senior Product Manager, Search",Capital One,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago","At least 5 years of experience in digital product management.
At least 3 years of experience in Agile product management.
MBA or Master’s degree.",3.9
"Asset & Wealth Management, Operations - Accounting Product Management Lead - Senior Vice President",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 30+ days ago",Roadmap our products and priorities the simultaneous develop of strategic initiatives alongside tactical projects and product enhancements.,3.9
Manager Product Management (Machine Learning Feature Lifecycle),Capital One,"New York, NY 10011 
(Flatiron area)",0,"
 17 days ago","2+ years of experience in Agile product management.
At least 3 year of product management experience or at least 3 year of experience in product design, agile…",3.9
"Senior Manager, Cybersecurity Product Manager, Data Protection - Cryptographic Services (Remote Eligible)",Capital One,"Remote in New York, NY 10011",0,"
 22 days ago","3+ years of experience in Agile product management.
Establish product value propositions, metrics, and key indicators.",3.9
New Product Development Manager,0,"Hybrid remote in Woodbridge, NJ 07095",0,"Employer
Active 2 days ago","They will be responsible for the product innovation pipeline, from product conception and formula to timeline management.
Skincare product development a plus.",0
"Asset & Wealth Management, Vice President – Product Management, Operations",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 5 days ago",Roadmap our products and priorities the simultaneous develop of strategic initiatives alongside tactical projects and product enhancements.,3.9
"Platform Solutions - Enterprise Partnerships - Associate, Credit Card Product Management - NYC",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 5 days ago","Experience owning a product roadmap.
3+ years of experience building digital products in a fast-paced, agile product development environment (consumer banking…",3.9
"Asset & Wealth Management, Client Solutions Group, Private Equity Product Specialist, Growth Equity, Vice President",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 26 days ago","Minimum of 7-10 years of experience in the asset management industry.
This team works closely with the growth equity investing team around the world,…",3.9
"Asset & Wealth Management, Operations - Accounting Product Management Lead - Senior Vice President",Goldman Sachs,"New York, NY 10282 
(Battery Park area)",0,"
 30+ days ago",Roadmap our products and priorities the simultaneous develop of strategic initiatives alongside tactical projects and product enhancements.,3.9
"Manager, Digital Product",YourTango,"New York, NY",0,"
 30+ days ago","Management of our Social Media profiles and programs.
YourTango is looking for an ambitious and creative intern for a Social Media internship.",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
"Group Manager, Product Technical Program Management",Meta,"New York, NY","$193,000 - $259,000 ","
 30+ days ago","Experience establishing and leading teams through multi-disciplinary relationships, including product management and engineering to drive product impact.",4.1
"Team Leader, Cash Management, Product Management",Santander US,"New York, NY","$157,500 - $205,000 ","
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",3.9
"Manager or Sr. Manager, Label & Product Management",Warner Music Group,"Remote in New York, NY","$60,000 - $90,000 ","
 17 days ago","Implement, organize and execute creative marketing including the management of project budgets.
Have strong management skills with the ability to drive projects…",4.1
"Director, Product Technical Program Management",Meta,"New York, NY","$233,000 - $297,000 ","
 30+ days ago","Experience establishing and leading teams through multi-disciplinary relationships, including product management and engineering to drive product impact.",4.1
"Product Manager I, Google Workspace",Google,"New York, NY 
(Chelsea area)","$125,540 - $188,310 ","
 6 days ago","Define the product direction and strategy for product areas within Google Workspace.
3.5 years of experience in product management, co-founder or related…",4.3
Product Management,BCG Digital Ventures,"New York, NY","$158,140 - $237,200 ","
 30+ days ago","BA/BS degree or equivalent work experience in product management.
Monitor and report on product KPIs.
Our product managers have the mindset to build.",3.8
"Small Business Cash Management Product Manager, Vice President - Hybrid",Citi,"New York, NY","$105,510 - $206,420 ","
 30+ days ago",Lead the small business Cash Management product and Preferred Plus program strategies including simplifying and optimizing the existing product line and…,3.9
Technical Product Manager - CitiDirect Cash (SVP),Citi,"New York, NY","$185,000 - $215,000 ","
 8 days ago","5 years’ experience in product management.
As Senior Vice President Cash Product Manager within the CitiDirect global product organization, you will be a leader…",3.9
Product Management Director,DTCC,"Hybrid remote in Jersey City, NJ 07310","$149,000 - $193,000 ","
 30+ days ago","The Product Management, Director is product champion and subject matter expert that is responsible for representing the 'voice' of the industry and clients to…",3.7
Product Manager (Full Stack),Citi,"New York, NY",0,"
 30+ days ago","Strong grasp in product management fundamentals.
Engage and interview clients for user research and establish user stories through product discovery process to…",3.9
"Sr./Director of Product Management, Viewership Data",SAMBA TV,"New York, NY",0,"
 30+ days ago","2+ years experience managing a team of product management ICs.
Own the product roadmap for our Viewership Data product suite.
$185,000 - $215,000 a year.",1.5
"Senior Director/ Director, Product Management",Simulmedia,"New York, NY 10012 
(NoHo area)",0,"
 27 days ago",6+ years of product management/leadership experience; 5+ advertising products or monetization products along with people management experience is ideal.,3.3
"Senior Product Manager, Search Ranking",Etsy,"Brooklyn, NY 11201",0,"
 3 days ago",Lead product management for one of Etsy’s highest performing product teams and build roadmaps for Search Ranking across Etsy’s mobile and web properties.,4.3
Product Management Director,Meta,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.1
"Product Management Associate, Polo Women's Wovens",Ralph Lauren,"New York, NY","$193,000 - $259,000 ","
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,3.8
"Director, Product Management",Visa,"Hybrid remote in New York, NY","$233,000 - $297,000 ","
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",3.9
"Head of Product Management & Sourcing, RL Home",Ralph Lauren,"New York, NY","$160,000 - $200,000 ","
 30+ days ago","Superior product savvy and commercial acumen.
Validate, evolve, and manage the Home product calendar.
The Sourcing Strategy will be a critical enabler of the…",3.8
"Group Manager, Product Technical Program Management",Meta,"New York, NY","$190,000 - $255,000 ","
 30+ days ago","Experience establishing and leading teams through multi-disciplinary relationships, including product management and engineering to drive product impact.",4.1
"Product Management Assistant, Lauren Wovens",Ralph Lauren,"New York, NY","$94,600 - $166,200 ","
 24 days ago","Strong organizational skills with detailed attention to product information.
Provide support for Product Management Manager within the Lauren Brand.",3.8
"Director, Product Technical Program Management",Meta,"New York, NY",0,"
 30+ days ago","Experience establishing and leading teams through multi-disciplinary relationships, including product management and engineering to drive product impact.",4.1
"Director Product Management, Product Lifecycle and Supply Chain",Tory Burch,"New York, NY",0,"
 30+ days ago","8+ years product management experience, with at least 4 years in DTC retail and at least 4 years as a senior product manager; Retail Fashion experience is…",3.4
"Senior Associate, Product Manager -- Data Management Services",Capital One,"New York, NY 10011 
(Flatiron area)",0,"
 11 days ago","At least 1 year of product management experience or at least 1 year of experience in product design, agile delivery, business analysis, data science, or…",3.9
"Digital Technology Product Manager, OMS",Ralph Lauren,"New York, NY",0,"
 30+ days ago",Strong project management skills managing multiple large projects with agile product management experience desirable.,3.8
Product Marketing Manager,Cash App,"New York, NY",0,"
 9 days ago","This role will be responsible for driving the adoption and growth of Cash App and its suite of Banking products, one of our most rapidly growing product…",5.0
"Senior Product Manager, Enterprise APIs",Live Nation,"Hybrid remote in New York, NY",0,"
 4 days ago","Drive product roadmap working with other product managers, designers, engineering, and operational teams.
Regularly communicate product roadmap and status of…",4.1
"Data Science Manager, Product",Moody's,"New York, NY",0,"
 30+ days ago",You will partner closely with our product and engineering leaders for our Core Product and Platform groups to determine and measure the overall metrics and…,3.6
Asst Dir-Product Manager,Ralph Lauren,"New York, NY",0,"
 30+ days ago","Defining the product roadmap for our suite of software products.
4+ years’ experience in product management, project management, PMO, or business analyst…",3.8
"Senior Product Management Associate, Polo Woven",0,"New York, NY",0,"
 5 days ago","Be a subject matter expert in woven-includes experience in product development, product engineering and production.
Create initial BOM with a Tech Pack.",0
Product Manager,ACLU,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.3
Senior Product Manager,ACLU,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,4.3
"Senior Product Manager, Bottom Funnel (Customer Identity & Account Management)",The Estée Lauder Companies,"New York, NY","$108,500 - $178,500 ","
 26 days ago","The Senior Product Manager creates, maintains and communicates the product vision, strategy and roadmap for their product area(s).",4.0
Product Design Manager,ACLU,"New York, NY 10004 
(Financial District area)","$168,683 ","
 30+ days ago","Comfortable presenting work to stakeholders and building consensus with product team members.
Leads workshops or contributes to product discussions to help…",4.3
"Manager, Global Product Marketing & Operations - Le Labo",The Estée Lauder Companies,"Brooklyn, NY 11249 
(Chelsea area)","$81,000 - $133,000 ","
 30+ days ago","Address product questions/issues from markets on distribution, sample timing, product codes, etc.
Highly organized with strong time management and able to…",4.0
"Product Manager, Global Omnichannel Fulfillment (Ship From Store)",The Estée Lauder Companies,"New York, NY","$96,500 - $162,500 ","
 1 day ago","6+ years work experience in management consulting, product management, ecommerce operations, or similar.
The Product Manager, Ship from Store, maintains and…",4.0
"Group Product Manager, Product Insights (Remote)",The Estée Lauder Companies,"Remote in New York, NY","$113,500 - $195,000 ","
 30+ days ago","6+ years of product management or related experience creating software products of product management, technical delivery or related experience creating…",4.0
Associate Security Product Manager,CVS Health,"New York, NY","$70,000 - $140,000 ","
 30+ days ago","2+ years of experience as a product owner/product manager.
Work with product management to track schedule against the roadmap and escalate risks/issues.",3.2
Digital Workplace Product Owner,AIG,"Hybrid remote in Jersey City, NJ 07302","$115,000 - $170,000 ","
 30+ days ago","Define product & Service Line Vision.
Ensure coherence between products within the service line.
Create and maintain product catalog and service line…",3.7
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Product Management Associate,ACLU,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.3
Product Manager,Meta,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management","JPMorgan Chase Bank, N.A.","New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",Ralph Lauren,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
"Product Management Associate, Polo Women's Wovens",ACLU,"New York, NY","$143,943 ","
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,4.3
Senior Product Manager,Visa,"Remote in New York, NY 10004","$63,000 - $120,000 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.9
"Director, Product Management",BNY Mellon,"Hybrid remote in New York, NY","$120,000 - $145,600 ","
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",3.5
"Specialist, Product Management",Telstra,"New York, NY",0,"
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.9
Financial Management Product Owner,Ralph Lauren,"New York, NY",0,"
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.8
"Head of Product Management & Sourcing, RL Home",0,"New York, NY",0,"
 30+ days ago","Superior product savvy and commercial acumen.
Validate, evolve, and manage the Home product calendar.
The Sourcing Strategy will be a critical enabler of the…",0
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
"Technology Product Management, Executive Director","JPMorgan Chase Bank, N.A.","Jersey City, NJ","$175,750 - $275,000 ","
 10 days ago","10+ years of experience in technical program management, product management, consulting, analytics, or a related field.",3.8
"Sr. Manager, Product Management",Fidelity Investments,"Jersey City, NJ 07311 
(Downtown area)","$103,000 - $137,000 ","
 30+ days ago","Product management experience a plus.
You will be responsible for supporting initiatives to deliver on our group's goals and critical metrics, contributing to…",4.0
Product Management Director,DTCC,"Hybrid remote in Jersey City, NJ 07310","$85,500 - $130,000 ","
 30+ days ago","The Product Management, Director is product champion and subject matter expert that is responsible for representing the 'voice' of the industry and clients to…",3.7
Product Manager Senior Associate - Business Management and Operations,"JPMorgan Chase Bank, N.A.","Hybrid remote in Jersey City, NJ","$119,000 - $260,000 ","
 9 days ago",Support team and demonstrates foundational product and customer knowledge of area product feature and ability to help the team guide allocation of highest value…,3.8
